tripid,lat,lng,pdatetime,speed,rid,highway
1121515,41.0837145,-81.514722,12/15/2015 16:40,5.026749744,272717986,primary
1121515,41.083755,-81.514707,12/15/2015 16:40,4.559436124,272717986,primary
1121515,41.0837915,-81.5146905,12/15/2015 16:40,3.929236248,272717986,primary
1121515,41.08382,-81.5146735,12/15/2015 16:40,3.585381533,272717986,primary
1121515,41.08385,-81.514657,12/15/2015 16:40,3.24805411,272717986,primary
1121515,41.083874,-81.5146465,12/15/2015 16:40,2.585822896,272717986,primary
1121515,41.083893,-81.514637,12/15/2015 16:40,2.101268605,272717986,primary
1121515,41.0839085,-81.51463,12/15/2015 16:40,1.641919694,272717986,primary
1121515,41.0839205,-81.5146255,12/15/2015 16:40,1.272012151,272717986,primary
1121515,41.08393,-81.5146205,12/15/2015 16:40,1.020980707,272717986,primary
1121515,41.0839375,-81.514617,12/15/2015 16:40,0.644964191,272717986,primary
1121515,41.0839405,-81.5146165,12/15/2015 16:40,0.374493146,272717986,primary
1121515,41.083941,-81.514616,12/15/2015 16:40,0.400472068,272717986,primary
1121515,41.0839395,-81.5146165,12/15/2015 16:40,0.345924642,272717986,primary
1121515,41.0839385,-81.5146185,12/15/2015 16:40,0.267321778,272717986,primary
1121515,41.0839375,-81.5146195,12/15/2015 16:40,0.299155424,272717986,primary
1121515,41.0839375,-81.514622,12/15/2015 16:40,0.302108022,272717986,primary
1121515,41.0839355,-81.514623,12/15/2015 16:40,0.447407097,272717986,primary
1121515,41.083938,-81.5146245,12/15/2015 16:40,0.470602067,272717986,primary
1121515,41.0839395,-81.5146265,12/15/2015 16:40,0.389664517,272717986,primary
1121515,41.0839405,-81.514629,12/15/2015 16:40,0.46962015,272717986,primary
1121515,41.0839445,-81.5146295,12/15/2015 16:40,0.704645849,272717986,primary
1121515,41.0839525,-81.514629,12/15/2015 16:40,1.24014662,272717986,primary
1121515,41.083966,-81.514624,12/15/2015 16:40,2.103775841,272717986,primary
1121515,41.0839885,-81.5146145,12/15/2015 16:40,3.271474107,272717986,primary
